sID	Target	1_0_1p_1	1_0_1t_1	1_0_u_1	1_1p_0_1	1_1p_1p_1	1_1p_1t_1	1_1p_u_1	1_1t_0_1	1_1t_1p_1	1_1t_1t_1	1_1t_u_1	1_u_0_1	1_u_1p_1	1_u_1t_1	1_u_u_1	u_0_1p_u	u_0_1t_u	u_0_u_u	u_1p_0_u	u_1p_1t_u	u_1p_u_u	u_1t_0_u	u_1t_1p_u	u_1t_u_u	u_u_0_u	u_u_1p_u	u_u_1t_u	u_u_u_u	Attention_Confirmation	Age	"Sex (1 = make; 2 = female; 3 = other; 4 = prefer not to say)"	Technical_issues	Duration (sek)
2	west	1	1	1	11	6	1	7	11	11	6	8	11	3	4	6	1	1	1	11	1	8	11	11	8	11	4	5	6	1	18	1	-99	695
3	west	1	1	3	11	6	6	11	11	6	6	11	9	1	1	6	1	1	6	11	6	11	11	6	11	8	1	1	6	1	27	2	-99	815
4	east	1	1	1	11	6	4	8	11	11	6	11	11	5	4	6	1	1	1	7	1	8	11	11	8	11	4	3	6	1	18	1	-99	608
5	east	1	1	1	11	6	4	6	11	10	6	7	11	6	6	6	1	1	1	11	3	6	11	10	6	11	6	6	6	1	28	3	-99	636
6	west	6	1	6	6	6	6	6	11	11	6	11	6	1	1	6	1	1	6	11	6	11	11	11	11	6	1	1	6	1	28	2	N/a	2835
8	east	1	1	1	11	6	6	6	11	6	6	11	11	1	6	6	1	1	1	11	6	6	11	6	6	11	6	6	6	1	36	1	-99	2262
9	west	2	2	3	10	6	5	8	10	7	6	8	8	5	5	6	3	2	4	9	5	7	9	7	8	8	7	5	6	1	21	1	-99	579
11	west	1	1	1	9	6	6	4	1	6	6	4	11	4	3	6	1	1	1	1	6	9	11	6	9	11	9	4	6	1	33	1	-99	609
13	east	1	1	1	11	6	5	6	11	7	6	7	11	6	5	6	1	1	1	11	5	8	11	7	7	11	5	5	6	1	44	2	-99	1236
14	west	1	1	1	11	6	3	8	11	11	6	11	11	3	1	6	1	1	1	11	3	9	11	8	11	11	3	1	6	1	23	1	-99	1606
15	east	1	1	1	11	6	1	6	11	11	6	11	11	6	1	6	1	1	1	11	1	6	11	11	6	9	6	6	6	1	39	1	-99	665
16	west	5	4	7	8	7	7	7	7	7	6	7	5	4	5	6	4	7	6	7	6	7	5	6	7	6	4	3	6	1	44	1	-99	1892
17	east	1	1	1	11	6	6	11	11	7	6	7	11	6	5	6	1	1	1	11	5	7	11	6	7	6	5	1	6	1	30	2	-99	1938
18	east	1	1	1	11	6	3	8	11	9	6	9	11	4	3	6	1	1	1	11	3	8	11	9	10	11	4	2	6	1	27	1	-99	1129
19	west	1	1	1	11	6	5	7	11	8	6	9	11	4	3	6	1	1	1	11	4	9	11	6	9	11	2	3	6	1	42	1	-99	1094
20	west	1	1	1	11	6	1	7	11	11	6	10	11	7	3	6	1	1	1	11	1	7	11	11	11	11	5	4	6	1	64	2	-99	1857
21	west	3	2	3	8	6	5	7	10	9	6	11	8	4	4	6	3	3	4	9	4	7	9	9	8	8	4	3	6	1	24	1	-99	2153
