sID	Target	Observation	Value	Attention_Confirmation	Age	Sex (2 = female)	Technical_issues	Duration (sek)
1	east	1_1p_0_1	11	1	46	2	-99	2424
1	east	1_justification_30_1	NO message was received at the station for the Western Castle, therefore no signal had been sent to the Palace. It is not possible for the Western Castle emergency system to have triggered the Palace alarm on this day.  The Eastern Castle did send a carrier pigeon and it's station did send a pony rider. Given that the Palace alarm is triggered, the signal must have come from the Eastern Castle.	1	46	2	-99	2424
1	east	1_u_0_1	11	1	46	2	-99	2424
1	east	1_justification_31_1	No message was received at the station for the Western Castle, therefore no signal was sent to the Palace. It is unknown what happened at the station for the Eastern Castle, but given that the Eastern Castle sent a carrier pigeon and the Palace alarm has been triggered and taking into account that it could not have been triggered from the Western Castle, I am certain that the Eastern Castle triggered this alarm.	1	46	2	-99	2424
1	east	1_1t_u_1	9	1	46	2	-99	2424
1	east	1_justification_32_1	It is unknown whether the station for the Western Castle received a pigeon or sent a signal wither by telegraph or pony, so there is a possibility that the alarm could have been triggered by the Western Castle emergency system.   A signal was received by pigeon and telegraphed on from the station for the Eastern castle, so it is fairly likely, but not 100% that the Eastern Castle emergency system triggered the alarm.	1	46	2	-99	2424
1	east	1_1t_1p_1	9	1	46	2	-99	2424
1	east	1_justification_33_1	It would depend on the time of day that the carrier pigeons were sent out as to who first triggered the alarm in this instance, though given that the pony riders are much slower than the telegraph system, I would expect that the alarm was triggered by the Eastern Castle emergency system.	1	46	2	-99	2424
1	east	1_1p_1p_1	6	1	46	2	-99	2424
1	east	1_justification_37_1	Both castles sent carrier pigeons and both stations sent ponies to the Palace. Either castle could have triggered the alarm.	1	46	2	-99	2424
1	east	1_u_1t_1	5	1	46	2	-99	2424
1	east	1_justification_40_1	It is certain that the Western Castle sent both a pigeon and a telegraph from it's station. It is certain that the Eastern Castle sent a pigeon and possible that a telegraph or pony was sent from it's station. I am leaning towards the Western Castle, but there is still a high probability that the Eastern Castle could have triggered the Palace alarm on this day.	1	46	2	-99	2424
1	east	u_1p_1t_u	3	1	46	2	-99	2424
1	east	justification_47	It is fairly safe to assume that both castles sent carrier pigeons, even though the information is unknown, because both stations sent a signal.  The Eastern Castle station sent the slower pony rider, so it is fairly safe to assume that the telegraph sent from the Western Castle station would arrive first, depending of course on the timing of the carrier pigeon, hence some possibility the signal from the Eastern Castle arriving first.	1	46	2	-99	2424
1	east	u_0_1p_u	1	1	46	2	-99	2424
1	east	justification_48	No message was received at the station for the Eastern Castle, therefore no signal could be sent to the Palace. It is not possible that the Palace alarm was triggered by the Eastern Castle emergency system on this day.	1	46	2	-99	2424
1	east	u_0_1t_u	1	1	46	2	-99	2424
1	east	justification_49	No message was received at the station for the Eastern Castle, and therefore no signal sent to the palace. The alarm could not have been triggered by the Eastern Castle emergency system.	1	46	2	-99	2424
1	east	u_0_u_u	1	1	46	2	-99	2424
1	east	justification_56	No message was received at the station for the Eastern Castle, therefore no signal was sent to the Palace. It is not possible for the Eastern Castle emergency system to have triggered the Palace alarm on this day.	1	46	2	-99	2424
2	west	1_1t_u_1	6	1	58	2	no	2685
2	west	1_justification_4_1	The western castle sent a telegraph but we do not know if the eastern castle sent one after receipt of the pigeon so they could have been the same of faster.	1	58	2	no	2685
2	west	1_1p_u_1	4	1	58	2	no	2685
2	west	1_justification_6_1	The western transmitter sent a pony but we do not know what the eastern transmitter sent so they may have sent a telegraph which would be faster than the western castle.	1	58	2	no	2685
2	west	1_1p_1t_1	1	1	58	2	no	2685
2	west	1_justification_11_1	The pigeon and telegraph was used by the eastern castle and would be quicker than the pony used by the western castle therefore the eastern castle would raise the alarm first.	1	58	2	no	2685
2	west	u_1t_1p_u	10	1	58	2	no	2685
2	west	justification_18	Both castle must have sent pigeons to activate the transmitter stations. The western station would have been faster than the pony.  it does depend when it was sent and how long it took the pony to arrive.	1	58	2	no	2685
2	west	u_0_1p_u	1	1	58	2	no	2685
2	west	justification_20	The alarm was raised in the castle by the eastern castle who successfully sent a pony from the transmitter. The western transmitter did not send anything successfully.	1	58	2	no	2685
2	west	u_0_1t_u	1	1	58	2	no	2685
2	west	justification_21	The telegraph was sent from the transmitter used by the eastern castle. The western transmitter did not successfully send notification in any way.	1	58	2	no	2685
2	west	u_u_u_u	6	1	58	2	no	2685
2	west	justification_22	We don't know what happened at any of the two castles other than the alarm was successfully raised.	1	58	2	no	2685
2	west	u_u_1t_u	6	1	58	2	no	2685
2	west	justification_23	We do not know what happened that day at the western castle so they could have raised the alarm in the same way as the eastern castle via transmitter.	1	58	2	no	2685
2	west	u_u_0_u	11	1	58	2	no	2685
2	west	justification_25	The alarm was set off and we do not know what the western castle and transmitter did that day but the eastern the transmitter did not successfully send anything.	1	58	2	no	2685
2	west	u_1t_u_u	6	1	58	2	no	2685
2	west	justification_26	We don't know what happened at the eastern castle so they may have sent a transmitter as fast as the western castle	1	58	2	no	2685
3	east	1_1p_u_1	10	1	34	2	-99	919
3	east	1_justification_34_1	because I have more in formation from the east	1	34	2	-99	919
3	east	1_u_u_1	6	1	34	2	-99	919
3	east	1_justification_35_1	because both interm stations give little information	1	34	2	-99	919
3	east	1_u_1p_1	3	1	34	2	-99	919
3	east	1_justification_38_1	because information was coming from the east	1	34	2	-99	919
3	east	1_u_1t_1	2	1	34	2	-99	919
3	east	1_justification_40_1	because information was coming from the west	1	34	2	-99	919
3	east	1_0_1t_1	4	1	34	2	-99	919
3	east	1_justification_42_1	because a telegram was sent from the west	1	34	2	-99	919
3	east	u_1t_1p_u	6	1	34	2	-99	919
3	east	justification_46	because either have sent out a message and you dont know whwta happened to the rider and when the message was sent	1	34	2	-99	919
3	east	u_0_1t_u	2	1	34	2	-99	919
3	east	justification_49	because a telegram was sent from the west	1	34	2	-99	919
3	east	u_u_1t_u	2	1	34	2	-99	919
3	east	justification_51	becasuse I know something was sent from the western castle	1	34	2	-99	919
3	east	u_1p_u_u	10	1	34	2	-99	919
3	east	justification_55	because i know a horse left with a message from the east	1	34	2	-99	919
3	east	u_0_u_u	2	1	34	2	-99	919
3	east	justification_56	because no message left from the east interm station	1	34	2	-99	919
5	east	1_1p_0_1	11	1	40	2	-99	2704
5	east	1_justification_30_1	The carrier pigeon from the Western Castle was not able to successfully relay the info to the telegraph.	1	40	2	-99	2704
5	east	1_1p_1t_1	1	1	40	2	-99	2704
5	east	1_justification_39_1	The Eastern Castle was forced to use a pony rider whereas the Western Castle was able to use the faster telegraph method.	1	40	2	-99	2704
5	east	1_u_1t_1	6	1	40	2	-99	2704
5	east	1_justification_40_1	The Easter Telegraph received the message but it is unknown if they sent a telegraph or a pony that day, if the chances of the telegraph is working is 50-50, it's a 50-50 chance they could have triggered the alarm.	1	40	2	-99	2704
5	east	1_0_u_1	1	1	40	2	-99	2704
5	east	1_justification_41_1	On this day the pigeon failed to communicate the message, I'm certain the Western Castle triggered the alarm.	1	40	2	-99	2704
5	east	u_1t_0_u	11	1	40	2	-99	2704
5	east	justification_44	The Eastern Castle  was able to relay a message, whereas the Western Castle could not.	1	40	2	-99	2704
5	east	u_1p_0_u	11	1	40	2	-99	2704
5	east	justification_45	No relay was possible from the Western Castle that day.	1	40	2	-99	2704
5	east	u_0_1p_u	1	1	40	2	-99	2704
5	east	justification_48	There was only a relay completed by the Western Castle that day, whether or not a message was sent from the Eastern Castle is inconsequential as it didn't make it to the relay point.	1	40	2	-99	2704
5	east	u_u_1p_u	3	1	40	2	-99	2704
5	east	justification_52	The Westerrn Castle was able to send a message to the Palace but only via the pony method therefore it is possible the Eastern Castle triggered the alarm using the telegraph method. But it is not known if the carrier pigeon made it and, if it did, if they would be able to send a telegraph. As there are two layers of uncertainty, I'm more confident the Western castle triggered the alarm.	1	40	2	-99	2704
5	east	u_u_0_u	11	1	40	2	-99	2704
5	east	justification_53	The Western Castle was not able to relay a message that day.	1	40	2	-99	2704
5	east	u_0_u_u	1	1	40	2	-99	2704
5	east	justification_56	The Easter Castle was not able to send either a rider not a telegraph, while the information about the Western Castle is unknown it was the only one capable of completing the message and triggering the alarm.	1	40	2	-99	2704
7	east	1_1t_0_1	11	1	38	2	-99	1087
7	east	1_justification_29_1	It is clear that a telegram was sent from the East. No message was received from the Western castle.	1	38	2	-99	1087
7	east	1_1p_0_1	11	1	38	2	-99	1087
7	east	1_justification_30_1	No signal received from the West so it must have been from the Eastern Castle.	1	38	2	-99	1087
7	east	1_1t_u_1	6	1	38	2	-99	1087
7	east	1_justification_32_1	We don't know if a signal was received from the West. So we can't say whether it was the West or the Eastern Castle.	1	38	2	-99	1087
7	east	1_1p_1t_1	3	1	38	2	-99	1087
7	east	1_justification_39_1	Horses take longer and may be attacked. The telegram sent from the West would have got there first.	1	38	2	-99	1087
7	east	1_0_1t_1	1	1	38	2	-99	1087
7	east	1_justification_42_1	No signal reveived from the Eastern Castle so it can't have been from that.	1	38	2	-99	1087
7	east	u_1t_0_u	11	1	38	2	-99	1087
7	east	justification_44	Because no message was received at the western castle and a telegram was sent from the eastern castle.	1	38	2	-99	1087
7	east	u_0_1p_u	1	1	38	2	-99	1087
7	east	justification_48	No signal received from the East so it can't have been from the Eastern Castle!	1	38	2	-99	1087
7	east	u_0_1t_u	1	1	38	2	-99	1087
7	east	justification_49	No signal received by the East so it can't have been caused by the Eastern Castle. On the other hand a telegram was sent from the west.	1	38	2	-99	1087
7	east	u_u_1t_u	6	1	38	2	-99	1087
7	east	justification_51	We don't know if a telegram was sent from the east as well as the west.	1	38	2	-99	1087
7	east	u_0_u_u	1	1	38	2	-99	1087
7	east	justification_56	Because no message was received from the Eastern Castle. Although we don't know if a message was received from the Western Castle we can be sure the alarm rang at the palace so it must have come from there as it definitely didn't come from the Eastern one.	1	38	2	-99	1087
9	west	1_1t_0_1	11	1	41	1	none	1197
9	west	1_justification_1_1	No pigeon was received by the eastern castle and a telegram WAS sent from the western castle.	1	41	1	none	1197
9	west	1_1t_1p_1	11	1	41	1	none	1197
9	west	1_justification_5_1	The telegram from the western castle would have reached the palace sooner than the pony from the eastern castle thus triggering the alarm.	1	41	1	none	1197
9	west	1_u_u_1	6	1	41	1	none	1197
9	west	1_justification_7_1	There is an equal chance that each castle caused the alarm.	1	41	1	none	1197
9	west	1_0_1p_1	1	1	41	1	none	1197
9	west	justification_15	No pigeon was received from the western castle. Also, the eastern castle dispatched a pony.	1	41	1	none	1197
9	west	u_1p_0_u	11	1	41	1	none	1197
9	west	justification_17	A pony was sent from the western tower. Nothing was received or sent by the eastern tower.	1	41	1	none	1197
9	west	u_1p_1t_u	1	1	41	1	none	1197
9	west	justification_19	Eastern castle sent a telegram which would have arrived at the palace sooner than the pony sent from the western castle.	1	41	1	none	1197
9	west	u_0_1p_u	1	1	41	1	none	1197
9	west	justification_20	The eastern castle dispatched a pony for certain.	1	41	1	none	1197
9	west	u_0_1t_u	1	1	41	1	none	1197
9	west	justification_21	Eastern castle sent a telegram, triggering the alarm.	1	41	1	none	1197
9	west	u_u_1t_u	1	1	41	1	none	1197
9	west	justification_23	Eastern castle sent a telegram, triggering the alarm.	1	41	1	none	1197
9	west	u_u_0_u	11	1	41	1	none	1197
9	west	justification_25	No message was received by the eastern tower therefore it must have been the western tower that triggered the alarm.	1	41	1	none	1197
10	west	1_u_0_1	6	1	32	2	-99	1161
10	west	1_justification_3_1	No info and no message from other castle	1	32	2	-99	1161
10	west	1_1t_1p_1	3	1	32	2	-99	1161
10	west	1_justification_5_1	Tel quicker than horse	1	32	2	-99	1161
10	west	1_1p_u_1	6	1	32	2	-99	1161
10	west	1_justification_6_1	No info from other castle but this castle sent a rider which takes a long time	1	32	2	-99	1161
10	west	1_1p_1p_1	6	1	32	2	-99	1161
10	west	1_justification_9_1	Both sent the same	1	32	2	-99	1161
10	west	1_u_1t_1	1	1	32	2	-99	1161
10	west	1_justification_12_1	No info but other sent a tekegran	1	32	2	-99	1161
10	west	1_0_1p_1	1	1	32	2	-99	1161
10	west	justification_15	No message at the tower	1	32	2	-99	1161
10	west	u_1t_1p_u	9	1	32	2	-99	1161
10	west	justification_18	Telegram sent	1	32	2	-99	1161
10	west	u_u_u_u	6	1	32	2	-99	1161
10	west	justification_22	No info	1	32	2	-99	1161
10	west	u_u_0_u	6	1	32	2	-99	1161
10	west	justification_25	No info	1	32	2	-99	1161
10	west	u_1t_u_u	9	1	32	2	-99	1161
10	west	justification_26	Telegram sent	1	32	2	-99	1161
11	east	1_1t_u_1	9	1	20	1	-99	1146
11	east	1_justification_32_1	it could be either castle as I can't know the timings of when the telegram or pony rider could have been sent from the western castle but theres also the chance that the western castle could have lost the carrier pigeon so it is more likely that the eastern towers telegram is what set off the alarm	1	20	1	-99	1146
11	east	1_1t_1t_1	6	1	20	1	-99	1146
11	east	1_justification_36_1	both castle's carrier pigeons arrived at the telegram towers and both towers sent telegrams to the palace, there is no way of knowing which was sent first and so which set off the alarm.	1	20	1	-99	1146
11	east	1_0_1t_1	1	1	20	1	-99	1146
11	east	1_justification_42_1	eastern tower did not receive the carrier pigeon so could not pass on the message	1	20	1	-99	1146
11	east	1_0_1p_1	1	1	20	1	-99	1146
11	east	justification_43	the carrier pigeon did not make it to the telegram tower so neither a telegram or a pony rider could be sent from there, however the western castle's carrier pigeon did arrive at the western telegram tower and a pony rider was sent from there to the castle so that is the only way the alarm could have sounded.	1	20	1	-99	1146
11	east	u_1t_1p_u	9	1	20	1	-99	1146
11	east	justification_46	even though there is no information it is clear that a carrier pigeon was sent from each castle as both towers received messages. The journey of the pony rider was said to be dangerous and long so it is assumed that this would take longer than the telegram sent by the eastern castle, and therefore the telegram would be the thing that set off the alarm, however this is not stated explicitly so I cant be certain that the pony rider did not set off the alarm.	1	20	1	-99	1146
11	east	u_1p_1t_u	2	1	20	1	-99	1146
11	east	justification_47	it is likely the alarm was caused by the telegram as there is no risk of it being attacked by bandits but there is always the chance the pony rider was sent long before the telegram and was not attacked so set off the alarm	1	20	1	-99	1146
11	east	u_0_1p_u	3	1	20	1	-99	1146
11	east	justification_48	the western tower sent a pony rider that may have may have set off the alarm, the eastern tower may have lost the carrier pigeon, may have sent a pony rider who may or may not have been attacked on the way or may have sent a telegram, there also could have not have been an emergency at the eastern castle so it is likely the western castle set off the alarm	1	20	1	-99	1146
11	east	u_0_1t_u	1	1	20	1	-99	1146
11	east	justification_49	the telegram from the western tower set off the alarm as the eastern tower did not receive a carrier pigeon so had no message to pass on	1	20	1	-99	1146
11	east	u_u_u_u	6	1	20	1	-99	1146
11	east	justification_50	with no information at all to go off of it could be either castle that set off the alarm	1	20	1	-99	1146
11	east	u_u_0_u	11	1	20	1	-99	1146
11	east	justification_53	the western castle did not receive the carrier pigeon so could not pass on the message	1	20	1	-99	1146
12	west	1_1t_1p_1	11	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_justification_5_1	Eastern sent a rider, but western sent a telegram.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_1p_u_1	11	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_justification_6_1	Rider deployed from Western Intermediate after pigeon received.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_u_1p_1	1	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_justification_10_1	Pigeon didn't arrive at western. Rider sent from east when telegram failed.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_1p_1t_1	1	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_justification_11_1	Eastern sent telegram.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_0_u_1	1	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_justification_13_1	Pigeon never arrived at western intermediate.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_0_1t_1	1	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	1_justification_14_1	Telegram sent from eastern while western never received pigeon.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	u_0_1t_u	1	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	justification_21	X over the western intermediate, plus the successful telegram sent from the eastern, and the triggered alarm at the palace.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	u_u_1t_u	1	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	justification_23	Telegram sent from eastern.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	u_u_1p_u	1	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	justification_24	Eastern intermediate sent out a rider when the telegram didn't send after receiving a pigeon.	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
12	west	u_1t_u_u	11	1	38	1	note: No problems. I just wanted to tell you that this was rad and I really enjoyed it!	1636
