sID	High_Strength_Component	Target	Observation_Order	1_1_u_1	1_u_u_1	diag_prob_rating	justification_1_1_u_1	justification_1_u_u_1	Attention_Confirmation	Age	Sex (1 = male, 2 = female, 3 = other, 4 = prefer not to say)	Technical_issues	Duration (sek)
28	Root	East	observed_first	10	6	6	you can't be sure that it is the west because of the cloud so more certain its the eastern castle	no way of knowing because of the clouds on both sides	1	21	2	n/a	796
35	Root	East	observed_first	8	6	3	We know for certain that eastern castle's rider reached the intermediate station however the western castle has a cloud over it so we are less certain that they triggered the alarm in the castle.	We know that both castles sent out pony riders but we cannot see whether either made it to the intermediate station because of the clouds so it's hard to say which was more likely.	1	23	1	-99	2543
44	Root	East	observed_first	7	6	7	Both castles sent out a rider, but we are only certain that one of the stations sent out a fresh rider.  The alarm could still be from either castle but because of the cloud I feel there is a bigger probability that it came from the eastern castle.	We have the exact same information from both castles and both stations views are clouded, chances are 50:50	1	38	1	-99	955
54	Root	East	observed_first	8	6	8	Both pony stations are selected but I cannot see the other pony station on the west. Therefore, the chances are that it was set off by the east.	Both pony stations are covered in the middle and both pony stations at the bottom are covered. Therefore it is random.	1	27	1	-99	2050
61	Root	East	observed_first	9	6	6	The rider from the eastern castle has certainly reached the intermediate station	It is unclear if either, or both riders reached the intermediate station	1	27	1	-99	463
63	Root	East	observed_first	7	6	8	I can't see whether the Western castle's pony rider reached the intermediate station, but I do know the Eastern castle's did, so I'm slightly more inclined to believe the alarm was set off by the Eastern castle.	I am equally in the dark about whether either rider reached the intermediate station, so I have no reason to believe one castle triggered the alarm over another.	1	26	2	-99	609
80	Root	East	observed_first	6	6	11	Becasue I don't know what happened with the rider sent from the West, I can't be certain that the alarm at the palace was caused by the east castle or not.	There's no way of knowing since both palaces sent alarms and it is unclear what happened at the stations thereafter	1	24	2	-99	595
82	Root	East	observed_first	5	6	9	The western pony definitely reached the intermediate station but we don't know if the eastern pony did. So the Eastern castle could have caused the alarm but we can't be sure, and there's slightly more chance it was the Western castle because we know the message got at least halfway there.	We don't know if either pony got halfway there so there's equal chance it could have been the Western or Eastern castle that set the alarm off	1	27	2	I think I got confused between east and west, sorry	1001
95	Root	East	observed_first	9	6	4	not sure if the west reached the first point	clouds obstructing both East and West, so not sure	1	45	2	-99	1726
106	Root	East	observed_first	5	6	8	Because you can't see what actually happened between the pony station and the palace	"It could've been casued equally by either castl;e"	1	38	2	-99	502
112	Root	East	observed_first	10	3	9	The cloud obscures the pony station for the Western Castle, but we know the fresh pony was sent from the Eastern's station.	I can't be certain as clouds appear over both pony stations.	1	40	1	-99	871
122	Root	East	observed_first	7	6	10	The pony rider from the eastern castle arrived successfully at the intermediary post, whereas it is unclear if the western castle rider arrived at their post.	I cannot see either intermediary post due to bad weather, so there is an even chance that both castles successfully had their messages delivered to the palace	1	26	2	-99	547
138	Root	East	observed_first	1	6	11	There is a pony rider in the Eastern Intermediary Pony Station, therefore the alarm could not have been caused by the Eastern Castle.	Both Intermediary Pony Stations are blocked from view. It's impossible to tell who set off the alarm.	1	27	1	-99	512
