sID	High_Strength_Component	Target	Observation_Order	1_1_u_1	1_u_u_1	diag_prob_rating	justification_1_1_u_1	justification_1_u_u_1	Attention_Confirmation	Age	Sex (1 = male, 2 = female, 3 = other, 4 = prefer not to say)	Technical_issues	Duration (sek)
4	Root	East	observed_first	9	6	4	The view from the intermediary from the Western Castle was obstructed, whereas the route from the Eastern Castle showed successful launch of riders along the route.	Both routes were obstructed.	1	32	1	-99	956
15	Root	East	observed_first	8	6	10	I chose my rating because the Western Castle is being blocked by a cloud, therefore there is still a chance the alarm could have been caused by the Western Castle and not the East. Even so, since we have vision of the Eastern Castle, my rating is weighed more to the Eastern Castle's side.	Both castles are being blocked, so I have no way of knowing who alarmed it. It is certain that the alarm was activated, but with no vision, it can be any castle.	1	21	1	-99	833
23	Root	East	observed_first	1	6	11	Likelhood the second rider never made it to the castle but the western side has a cloud therefore they are more likely to hve made it ithrough	Both reached first destination both have cloud coverage	1	33	2	-99	549
34	Root	East	observed_first	9	6	6	I can't be sure if the Western castle's pony arrived as the cloud is blocking the view	two clouds so can't see if either East or West caused the alarm	1	26	2	no	601
42	Root	East	observed_first	9	6	4	I can see the whole path	Both have obscured paths.	1	36	1	-99	632
52	Root	East	observed_first	4	6	8	the probability of the riders getting to the palace is the same and both sent riders, but it isn't clear whether the rider from the west castle got further than the intermediate station	Can't tell whether a pony was sent on from either intermediate station so equally likely	1	25	2	-99	1056
56	Root	East	observed_first	7	6	10	Although there is a low chance of the second pony rider making it to the castle, they did manage to on this day as the alarm in the palace was set off. However, I can't be sure that the western pony rider made it to the intermediate station as there is a cloud blocking the view, but I know that the eastern pony rider made it to their intermediate station so it seems more likely that they were the ones who set off the emergency alarm.	"We can't be sure which castle is responsible for the alarm being set off, as there are clouds blocking the view of both the eastern and western intermediate stations; therefore, even though both castles sent out pony riders, we can't be sure which of them made it to the intermediate station and was responsible for setting the emergency alarm off in the palace."	1	18	2	-99	1200
76	Root	East	observed_first	6	6	4	There is a cloud obstructing the view in the Western Pony station so I'm not sure who triggered the alarm.	Clouds are obstructing both views so I'm not sure who triggered the alarm	1	26	2	-99	660
80	Root	East	observed_first	1	6	1	Because the next station received a rider from the eastern castle	Clouds blocking both stations has a rider so no way of showing	1	36	2	-99	843
83	Root	East	observed_first	8	6	9	we don't know for sure if the western station received the message	can't see the stations but both castles sent out riders	1	38	1	-99	1011
106	Root	East	observed_first	6	6	8	both the eastern and western castles intermediate riders were dispatched. both had 90% chance of having reached the castle but you cant see whether it was the western castle due to the vision being blocked by a cloud.	both eastern and western riders intermediate riders unable to see due to clouds	1	50	2	-99	1234
117	Root	East	observed_first	3	6	2	It seems that a pony reached the Western castle, and both ponies remain on the intermediate path and Eastern castle.	Clouds are obstructing the view	1	20	1	-99	502
139	Root	East	observed_first	10	6	9	I can't see that the intermediate station on the other side went out a second rider due to the cloud so to me it seems more probable it was the eastern castle that rang the alarm	Because both intermediate stations are obscured via a cloud its just as likely to be either one	1	40	2	-99	1129
146	Root	East	observed_first	6	6	10	Although we can't see what happened with the western castle's horse that's not to say they didn't make it to the intermediate point and a new horse wasn't sent out. Therefore we are still unsure who made it to the palace so I would say 50:50.	We cannot see what happened with either horse so therefore cannot draw any conclusion.	1	29	2	-99	862
147	Root	East	observed_first	6	6	6	There is a cloud covering the western post, so you cannot tell. Either way, there is nothing to determine who caused the alarm.	There is a cloud covering the both eastern and western post, so you cannot tell. Either way, there is nothing to determine who caused it	1	23	2	-99	1125
158	Root	East	observed_first	10	6	10	The first pony rider made it to the middle ground and one was sent from the middle ground. We can’t see if the west castle rider made it to the middle ground as there is a cloud	Clouds obscuring both middle grounds so we can’t be sure who triggered or arrived anywhere	1	24	2	-99	431
169	Root	East	observed_first	9	6	6	Its pony definitely got to the immediate station, so there is a more likely chance that it rang the alarm.	They both have identical scenarios so impossible to say	1	26	2	-99	604
176	Root	East	observed_first	11	6	6	The castle with the arrow pointed at it is facing east more than the other. If it's not the Eastern Castle i dont know why its not called the eastern if its the most eastward	It could have been both	1	22	2	-99	1104
202	Root	East	observed_first	9	6	5	Cloud cover obscures western castle.	Cloud cover obscures both routes.	1	54	2	-99	660
206	Root	East	observed_first	6	6	10	You can not determine if the western castle rider made it due to clouds	Unable to determine due to cloud coverage and statistically they each have the same probability of reaching the king's castle	1	48	1	-99	2305
2	Root	East	unobserved_first	4	6	9	It's difficult to know for sure. As there is a cloud over the intermediate pony station for the Eastern castle, we don't know if they were successful in sending out a pony. What we do know for sure is, the Western intermediate pony station HAS sent out a pony. So, from the information we have, it's slightly more possible it was the Western castle.	There are clouds above both intermediate pony stations, so it's impossible to know who was successful in triggering the alarm at the KIng's Palace.	1	36	2	-99	926
20	Root	East	unobserved_first	9	6	2	we cant see the final route of the western castle. it looks more likely to be the eastern castle but cant be certain.	both castles made a call, both have the same chances of being attacked and both have a cloud area, so the chances are equal	1	32	2	none	1076
27	Root	East	unobserved_first	7	6	5	There's a slightly higher chance because I know that rider survived the low-risk area, but it's only minimally higher.	As there are two clouds and equal probabilities on each side, there's a 50-50 chance.	1	28	2	N/A	602
57	Root	East	unobserved_first	8	6	10	clouds blocks other view so cant see if horse sent reached intermediate to then send on to castle. Eastern castle did reach intermediate and send onwards	both castles sent people, a clous blocks both clues, an alarm was set off.	1	20	3	none	941
72	Root	East	unobserved_first	11	6	4	There is a pony rider marker at the pony station where the alarm would have been triggered for the Eastern Castle path.	The baron rating is 90% and there is a cloud in the way so this blocks any judgement as to whether the eastern castle triggered the alarm.	1	33	2	-99	825
74	Root	East	unobserved_first	9	6	2	A cloud is preventing my view of the western intermediate castle. An alert could be sent by both.	Both castles sent out an alert	1	18	2	-99	722
84	Root	East	unobserved_first	9	6	3	we know the eastern castle's rider made it to the way station, but don't know if the western one did.	both intermediary stations have clouds, so there's no way of knowing which made it or not	1	30	1	-99	2093
86	Root	East	unobserved_first	2	6	9	There is a cloud on the west side	Could have been either really as the conditions on both sides are the same	1	38	1	-99	606
97	Root	East	unobserved_first	6	6	6	There is an obstruction of view from the eastern castle to the mid way point. I think the pony probably made it to the mid way point, but the next half was more dangerous	There is an obstruction of view, so I can't tell if the pony that was sent from the eastern castle ever got to the half way point	1	28	2	-99	809
110	Root	East	unobserved_first	8	6	10	What we know for certain is that both castles sent a pony and that the Eastern Castle's intermediate station did send a pony rider out to the palace. We don't know if the intermediate station of the Western Castle received the message for certain, because the view of the intermediate station is obstructed by a cloud.	I can see that both castles sent a pony rider to their intermediate stations. Both intermediate stations are obstructed by clouds, so it is impossible to determine if the intermediate stations received a message and forwarded it to the palace by sending a pony. As the probability of success is the same for both castles in this scenario, my logical answer is 50:50	1	36	1	-99	1547
114	Root	East	unobserved_first	6	6	6	THERE IS A CLOUD OBSCURING MY VIEW OF THE WEST SO I CANNOT BE SURE	BOTH EAST AND WEST HAVE CLOUDS OBSCURING MY VIEW	1	65	2	-99	1082
129	Root	East	unobserved_first	8	6	9	We don't know if the Western castle's horse made it to the checkpoint but we do know the Eastern castle's horse did, giving a slightly higher likelihood of having caused the alarm	There is no information that would give either castle a higher likelihood to have sent out the message	1	24	1	-99	578
144	Root	East	unobserved_first	8	6	10	I can see that the first pony made it to the next pony station on the east, I'm unable to see if the western one did	it could equally be bother of the castles	1	31	2	-99	680
150	Root	East	unobserved_first	8	6	10	The Western intermediary spot is covered by a cloud so I'm not sure the pony rider made it there.	There are clouds covering the East and West sides so they both had an equal chance to ring the bell.	1	32	1	-99	1502
161	Root	East	unobserved_first	8	6	10	I know that the eastern castle successfully sent a rider from the middle station, but I don't know if the western castle's rider ever made it to their middle station. Because of that, it seems like the eastern castle may be responsible for the alarm.	My views are obstructed by clouds, so I can't see if the riders reached the middle station. At this point, either castle could have caused the alarm.	1	34	2	-99	704
168	Root	East	unobserved_first	7	6	2	I can see that a pony was despatched from the intermediary post (while this is obstructed for Western Castle). Both have similar chances of being attacked so the probability only increases slightly	I can tell that the Eastern Castle sent a rider to the intermediary station but there is a 90% chance of it being attacked before it reaches the intermediary station.  There is also a cloud that obstructs my view so am unable to tell if a fresh pony was despatched to the palace.  this is the same for the Western Castle	1	38	2	-99	1082
175	Root	East	unobserved_first	6	6	8	Need more info.	Not sure	1	33	1	-99	1191
201	Root	East	unobserved_first	7	6	5	We have no idea whether the western castle got there, but we do know that the Eastern one did. Therefore there is a  10% less chance that the Western one arrived, so a slightly higher chance that the Eastern one got through	Both east and west castles have exactly the same information available. There is no way of knowing which is more likely	1	35	1	-99	1286
205	Root	East	unobserved_first	8	6	10	As you know the eastern castle has reached the middle, it is slightly more likely it triggered the alarm	Can't see either of the middle stations so it's a 50/50	1	18	1	-99	518
208	Root	East	unobserved_first	8	6	6	Seems more likely as we know the eastern pony definitely reached the intermediate pony station	it could be either of them. They both sent out ponies but the clouds block the route to the palace, so it's a 50:50 chance	1	27	2	-99	1033
12	Root	West	observed_first	11	6	10	Cloud covering east.	Clouds covering both east and west, no way to determine.	1	27	1	-99	589
17	Root	West	observed_first	6	6	10	Due to not being able to see because of the cloud, they possibly could have never made it to the next step.	Equal chance	1	23	2	-99	652
25	Root	West	observed_first	6	6	6	not sure because of the cloud is covering the station in the path of the eastern castle	hard to tell because of the clouds is blocking the stations	1	20	1	-99	1268
43	Root	West	observed_first	9	6	10	Rider definitely made it to second station, can't see if Eastern rider did. At least one rider made it to the castle. More likely to be the one who we know made it to the station. But not definite.	Clearly one rider must have made it all the way, but impossible to see which got to the second station	1	43	2	-99	1086
48	Root	West	observed_first	9	6	10	We know for sure that the intermediary station sent out a pony	Both paths are obstructed. Could be either.	1	33	2	-99	1186
62	Root	West	observed_first	7	6	10	I know the western pony rider got past the 10% death chance, I don't know the eastern one did	both sent a pony rider, which got there is impossible to know	1	49	1	-99	760
94	Root	West	observed_first	9	6	11	It is unclear if there was a pony rider sent from the Eastern intermediate station	It is unclear if both pony riders from each intermediate station was sent	1	23	1	N/A	801
105	Root	West	observed_first	8	6	4	There is a 50/50 chance of both messages getting through. However, as I cannot see whether the eastern rider arrived at the first station I that chance would change to be more favourable for the Western rider.	there is a 50/50 chance of both riders achieving their goal	1	55	1	-99	1384
121	Root	West	observed_first	4	3	2	I am uncertain which Castle caused the alarm because there's a cloud obstructing the view of whatever happened at the Eastern Castle's intermediate pony stable.	Again, I am uncertain which castle caused the alarm because clouds are obstructing the view in both intermediate pony stables.	1	25	2	-99	730
128	Root	West	observed_first	11	6	5	There is a cloud en route from the Easter castle so their pony never made it	There are clouds above both routes so it is uncertain which pony rider made it	1	31	2	-99	606
135	Root	West	observed_first	7	6	10	Both castles sent out riders and although we can't tell if the eastern relay station received the message to pass on there's an extremely good chance it did and forwarded it just as the western station did.	Both castles sent out a message. That's all we know, and there's an equal probability the alarm could have been triggered by either castle.	1	43	1	-99	1177
164	Root	West	observed_first	6	6	11	Both castles sent out a pony meaning that the percentage for either rider to get to the palace is the same.	Both castles sent out a pony even though we can't see which one made the percentage for both the riders is same.	1	21	1	-99	1025
167	Root	West	observed_first	9	6	9	a rider was sent out from the western castle and the pony station. I can't see if one was sent out from the Eastern's pony station	A rider was sent from both castles but the clouds obstruct whether they made it to the pony stations	1	23	2	-99	645
178	Root	West	observed_first	6	6	3	Unsure it was caused by the Western Castle.	Unsure the alarm was caused by the Western Castle as there are clouds blocking the call.	1	25	1	-99	1572
180	Root	West	observed_first	6	6	10	I an see a rider at both castles but no information on who set the alarm, the cloud is blocking one stop.	There is no indicating factors on who caused the alarm.	1	36	1	-99	643
181	Root	West	observed_first	8	6	8	I have no information about the pony rider from the Eastern castle, so I put a little more weight on the Western castle.	I have no information on the intermediate stations, so its impossible to give more weight to one castle or the other.	1	29	1	-99	798
213	Root	West	observed_first	7	6	10	I know for sure that the Western Castle sent out a pony rider.  I know for sure that the Western Intermediate station sent out a pony rider.  I know for sure that the Eastern Castle sent out a pony rider.  I do not know whether the Pony reached the Eastern Intermediate station but I know there is a 90% chance that it did.   Given that it started as 50% chance for each castle I leaned slightly towards the Western Castle because of the extra information of knowing the rider made it to the intermediate station.	I know for sure that the Western Castle sent out a pony rider.  I do not know if the Western intermediate station sent out a pony rider.  I know for sure that the Eastern Castle sent out a pony rider.  I do not know if the Eastern intermediate station sent out a pony rider.  The probability given the available information is 50/50.	1	28	1	-99	1576
215	Root	West	observed_first	8	6	8	Although the view of the pony rider's path is obscured by the cloud(decreasing visibility), I cannot fully rule out that the Eastern castle wasn't successful in their quest. Also, the blocks with  X  is shaded differently from East and West.  I'm not sure how pertinent this detail is and can't recall it being mentioned earlier.	Visibility is obscured on both East and West, therefore I can't tell who triggered the alarm.	1	44	2	No tech issues.  Thanks for the study!	1740
